"","PLAYER","COUNTRY","HEIGHT","WEIGHT","SEASON_EXP","POSITION","TEAM","PTS","AST","REB","DRAFT_YEAR","TEAM_CITY"
"1","Alaa Abdelnaby","USA",2.05,108,4,"Forward","Trail Blazers",5.7,0.3,3.3,"1990","Portland"
"2","Zaid Abdul-Aziz","USA",2.025,105.75,9,"Center","Rockets",9,1.2,8,"1968","Houston"
"3","Kareem Abdul-Jabbar","USA",2.15,101.25,19,"Center","Lakers",24.6,3.6,11.2,"1969","Los Angeles"
"4","Mahmoud Abdul-Rauf","USA",1.825,72.9,8,"Guard","Nuggets",14.6,3.5,1.9,"1990","Denver"
"5","Tariq Abdul-Wahad","France",1.95,105.75,6,"Forward","Kings",7.8,1.1,3.3,"1997","Sacramento"
"6","Shareef Abdur-Rahim","USA",2.025,110.25,12,"Forward","Grizzlies",18.1,2.5,7.5,"1996","Vancouver"
"7","Tom Abernethy","USA",1.975,99,4,"Forward","Warriors",5.6,1.2,3.2,"1976","Golden State"
"8","Forest Able","USA",1.875,81,0,"Guard","Nationals",0,1,1,"1956","Syracuse"
"9","John Abramovic","USA",1.875,87.75,1,"Forward","Ironmen",9.5,0.7,NA,"Undrafted","Pittsburgh"
"10","Alex Abrines","Spain",1.95,90,2,"Guard","",5.3,0.5,1.4,"2013",""
"11","Alex Acker","USA",1.925,83.25,2,"Guard","Clippers",2.7,0.5,1,"2005","Los Angeles"
"12","Donald Ackerman","USA",1.8,82.35,0,"Guard","Knicks",1.5,0.8,0.5,"1953","New York"
"13","Mark Acres","USA",2.075,99,5,"Center","Magic",3.6,0.5,4.1,"1985","Orlando"
"14","Charles Acton","USA",1.95,94.5,0,"Forward","Rockets",3.3,0.5,2,"Undrafted","San Diego"
"15","Quincy Acy","USA",1.975,108,6,"Forward","",4.9,0.6,3.5,"2012",""
"16","Alvan Adams","USA",2.025,94.5,12,"Center","Suns",14.1,4.1,7,"1975","Phoenix"
"17","Don Adams","USA",1.975,94.5,6,"Forward","Pistons",8.7,1.8,5.6,"1970","Detroit"
"18","Hassan Adams","USA",1.9,99,1,"Forward","",2.5,0.2,1.2,"2006",""
"19","Jaylen Adams","USA",1.8,101.25,2,"Guard","",0.3,0.3,0.4,"Undrafted",""
"20","Jordan Adams","USA",1.925,94.05,2,"Guard","Grizzlies",3.2,0.6,0.9,"2014","Memphis"
"21","Michael Adams","USA",1.75,74.25,10,"Guard","Nuggets",14.7,6.4,2.9,"1985","Denver"
"22","Steven Adams","New Zealand",2.075,119.25,7,"Center","Pelicans",8.1,2,9.2,"2013","New Orleans"
"23","Rafael Addison","USA",2,108.45,5,"Forward","Nets",5.8,0.9,2.1,"1986","New Jersey"
"24","Bam Adebayo","USA",2.025,114.75,3,"Center","Heat",19.2,5.4,9.5,"2017","Miami"
"25","Deng Adel","South Sudan",1.975,90,1,"Forward","Cavaliers",1.7,0.3,1,"Undrafted","Cleveland"
"26","Rick Adelman","USA",1.85,78.75,6,"Guard","Trail Blazers",7.7,3.5,2.4,"1968","Portland"
"27","Jeff Adrien","USA",NA,NA,5,"","",4.6,0.7,4.3,"Undrafted",""
"28","Arron Afflalo","USA",1.925,94.5,11,"Guard","Magic",10.8,1.8,2.9,"2007","Orlando"
"29","Maurice Ager","USA",1.925,90.9,3,"Forward","",2.1,0.2,0.6,"2006",""
"30","Mark Aguirre","USA",1.95,104.4,12,"Forward","Mavericks",20,3.1,5,"1981","Dallas"
"31","Blake Ahearn","USA",1.85,85.5,3,"Guard","Heat",4.6,1.2,1.2,"Undrafted","Miami"
"32","Danny Ainge","USA",1.925,78.75,13,"Guard","Celtics",11.5,4,2.7,"1981","Boston"
"33","Alexis Ajinca","France",2.15,111.6,7,"Center","Pelicans",5.3,0.5,3.9,"2008","New Orleans"
"34","Henry Akin","USA",2.05,101.25,1,"Center","Knicks",3.5,0.5,2.1,"1966","New York"
"35","Josh Akognon","USA",1.775,83.25,1,"Guard","Mavericks",1.7,0.3,0.3,"Undrafted","Dallas"
"36","DeVaughn Akoon-Purcell","Trinidad and Tobago",1.95,90,1,"Guard","",1,0.9,0.6,"Undrafted",""
"37","Solomon Alabi","Nigeria",2.125,113.4,2,"Center","Raptors",1.5,0.2,2.3,"2010","Toronto"
"38","Mark Alarie","USA",2,97.65,4,"Forward","Bullets",7.5,1.1,3.4,"1986","Washington"
"39","Gary Alcorn","USA",2.025,101.25,1,"Center","Pistons",3.3,0.3,4.2,"1959","Detroit"
"40","Furkan Aldemir","Turkey",2.05,108,1,"Forward","76ers",2.3,0.7,4.3,"2012","Philadelphia"
"41","Cole Aldrich","USA",2.075,113.85,8,"Center","Knicks",3.1,0.5,3.3,"2010","New York"
"42","LaMarcus Aldridge","USA",2.075,112.5,14,"Center","Spurs",13.7,1.7,4.5,"2006","San Antonio"
"43","Chuck Aleksinas","USA",2.075,117,0,"Center","Warriors",5.1,0.5,3.6,"1982","Golden State"
"44","Cliff Alexander","USA",2,108,1,"Forward","Trail Blazers",1.3,0,0.8,"Undrafted","Portland"
"45","Cory Alexander","USA",1.825,85.5,7,"Guard","Spurs",5.5,2.7,1.6,"1995","San Antonio"
"46","Courtney Alexander","USA",1.925,92.25,3,"Guard","Wizards",9,1.2,2.2,"2000","Washington"
"47","Gary Alexander","USA",1.975,108,0,"Forward","Cavaliers",1.7,0.2,1.4,"Undrafted","Cleveland"
"48","Joe Alexander","USA",2,103.5,2,"Forward","Bucks",4.2,0.7,1.8,"2008","Milwaukee"
"49","Kyle Alexander","Canada",2.05,97.2,1,"Forward","Heat",1,0,1.5,"Undrafted","Miami"
"50","Victor Alexander","USA",2.05,119.25,4,"Forward","Warriors",8.9,0.9,4.8,"1991","Golden State"
"51","Nickeil Alexander-Walker","Canada",1.95,92.25,1,"Guard","Pelicans",9.2,1.9,2.8,"2019","New Orleans"
"52","Steve Alford","USA",1.85,82.35,3,"Guard","Mavericks",4.4,1,0.9,"1987","Dallas"
"53","Rawle Alkins","USA",1.925,101.25,1,"Guard","Bulls",3.7,1.3,2.6,"Undrafted","Chicago"
"54","Bob Allen","USA",2.025,92.25,0,"Forward","Warriors",1.8,0.4,2.1,"1968","San Francisco"
"55","Grayson Allen","USA",1.9,89.1,2,"Guard","Grizzlies",9.5,2.1,3.1,"2018","Memphis"
"56","Jarrett Allen","USA",2.075,109.35,3,"Center","Cavaliers",12.9,1.6,9.9,"2017","Cleveland"
"57","Jerome Allen","USA",1.9,82.8,1,"Guard","Pacers",2.9,1.7,1.1,"1995","Indiana"
"58","Kadeem Allen","USA",1.825,90,2,"Guard","",5.5,2.3,1.5,"2017",""
"59","Lavoy Allen","USA",2.025,117,6,"Forward","Pacers",4.8,1,4.8,"2011","Indiana"
